headword,word,tag,line_number,filename,context,text_type,reason,riverside_context,riverside_reason
answeren,answerde,v%pt_3,The Miller's Tale 3490,data/oxford_txts/MilT_oxford.txt,"¶This carpenter answerde, “What seystow?°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",This carpenter answerde What seystow,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book V 484,data/oxford_txts/TC5_oxford.txt,"Pandare answerde, “Be we comen hider",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Pandare answerde Be we comen hider,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Prologue 654,data/oxford_txts/WBPro_oxford.txt,"Than wolde he sey right thus, withouten doute",OXFORD,Infinitive must end in -en or -e,Thanne wolde he seye right thus withouten doute,No exception (normal form)
bringen,bring,v%inf,The Wife of Bath's Prologue 221,data/oxford_txts/WBPro_oxford.txt,To bring me gaye thinges fro the faire.,OXFORD,Infinitive must end in -en or -e,To brynge me gaye thynges fro the fayre,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book V 1192,data/oxford_txts/TC5_oxford.txt,And on the morwe unto the yate he wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And on the morwe unto the yate he wente,No exception (normal form)
setten,sette,v%pt_3,The Clerk's Tale 951,data/oxford_txts/ClT_oxford.txt,"Cam at his heste, and on hir knees hir sette",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Cam at his heste and on hire knees hire sette,No exception (normal form)
heren,herde,v%pt_1,The Nun's Priest's Tale 3301,data/oxford_txts/NPT_oxford.txt,"Save° yow, I herde never man so singe",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Save yow I herde nevere man so synge,No exception (normal form)
biholden,behelde,v%pt_1,House of Fame 481,data/oxford_txts/HF_oxford.txt,I faste° aboute me behelde.°,OXFORD,Strong pt sg must not end in -en or -e,I faste aboute me beheld,No exception (normal form)
peinten,peint,v%inf,Book of the Duchess 259,data/oxford_txts/BD_oxford.txt,I wol do peint° with pure golde,OXFORD,Infinitive must end in -en or -e,I wol do peynte with pure gold,No exception (normal form)
heren,herde,v%pt_3,The Merchant's Tale 2185,data/oxford_txts/MerT_oxford.txt,"¶This fresshe May, whan she thise wordes herde",OXFORD,"Weak pt sg must end in -ed, -d, or -t",This fresshe May whan she thise wordes herde,No exception (normal form)
speken,spake,v%pt_3,The Pardoner's Tale 776,data/oxford_txts/PardT_oxford.txt,¶The worste of hem he spake the firste word.,OXFORD,Strong pt sg must not end in -en or -e,The worste of hem he spak the firste word,No exception (normal form)
sen,saw,v%pt_pl,House of Fame 504,data/oxford_txts/HF_oxford.txt,That never saw men such a sighte,OXFORD,Past plural must end in -en or -e,That never sawe men such a syghte,No exception (normal form)
soupen,soup,v%inf,The Franklin's Tale 1217,data/oxford_txts/FranT_oxford.txt,"“Go we than soup,”° quod he, “as for the beste;",OXFORD,Infinitive must end in -en or -e,Go we thanne soupe quod he as for the beste,No exception (normal form)
heren,herde,v%pt_3,Troilus and Criseyde; Book IV 695,data/oxford_txts/TC4_oxford.txt,She herde hem right as though she thennes were;,OXFORD,"Weak pt sg must end in -ed, -d, or -t",She herde hem right as though she thennes were,No exception (normal form)
moten,mot,v%pr_pl,The Clerk's Tale 526,data/oxford_txts/ClT_oxford.txt,"“Madame,” he seide, “ye mot foryeve it me",OXFORD,Present plural must end in -en or -e,Madame he seyde ye moote foryeve it me,No exception (normal form)
sen,saw,v%pt_pl,The Franklin's Tale 895,data/oxford_txts/FranT_oxford.txt,¶Hir freendes saw that it was no disport°,OXFORD,Past plural must end in -en or -e,Hire freendes sawe that it was no disport,No exception (normal form)
wenden,wente,v%pt_3,The Summoner's Tale 2082,data/oxford_txts/SumT_oxford.txt,Whan that he wente Babiloign° to winne.°,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Whan that he wente Babiloigne to wynne,No exception (normal form)
seien,sey,v%inf,Troilus and Criseyde; Book IV 831,data/oxford_txts/TC4_oxford.txt,Wher shal I sey to yow ‘welcome’ or no,OXFORD,Infinitive must end in -en or -e,Wher shal I seye to yow welcom or no,No exception (normal form)
deliveren,deliver,v%inf,The Shipman's Tale 200,data/oxford_txts/ShipT_oxford.txt,I wol deliver yow out of this care;°,OXFORD,Infinitive must end in -en or -e,I wol delyvere yow out of this care,No exception (normal form)
biholden,behelde,v%pt_1,House of Fame 897,data/oxford_txts/HF_oxford.txt,And behelde feldes° and plaines,OXFORD,Strong pt sg must not end in -en or -e,And beheld feldes and playnes,No exception (normal form)
sitten,sit,v%pr_pl,The Canon's Yeoman's Tale 1195,data/oxford_txts/CYT_oxford.txt,"Sit we doun, and lat us mery make.”°",OXFORD,Present plural must end in -en or -e,Sitte we doun and lat us myrie make,No exception (normal form)
shulen,shuld,v%pt_pl,Parliament of Fowls 590,data/oxford_txts/PF_oxford.txt,That men shuld loven alwey causeles,OXFORD,Past plural must end in -en or -e,That men shulde loven alwey causeles,No exception (normal form)
taken,tak,v%inf,The Wife of Bath's Tale 1224,data/oxford_txts/WBT_oxford.txt,And tak your aventure° of the repair°,OXFORD,Infinitive must end in -en or -e,And take youre aventure of the repair,No exception (normal form)
paien,pay,v%inf,The Canon's Yeoman's Tale 1361,data/oxford_txts/CYT_oxford.txt,"Ye shul pay fourty pound, so God me save!",OXFORD,Infinitive must end in -en or -e,Ye shul paye fourty pound so God me save,No exception (normal form)
faren,ferde,v%pt_1,Book of the Duchess 99,data/oxford_txts/BD_oxford.txt,I ferde° the worse al the morwe°,OXFORD,Strong pt sg must not end in -en or -e,I ferde the worse al the morwe,No exception (normal form)
answeren,answerde,v%pt_3,The Miller's Tale 3492,data/oxford_txts/MilT_oxford.txt,"¶This Nicholas answerde, “Fecch me drinke;",OXFORD,"Weak pt sg must end in -ed, -d, or -t",This Nicholas answerde Fecche me drynke,No exception (normal form)
wenden,went,v%pt_pl,Parliament of Fowls 235,data/oxford_txts/PF_oxford.txt,"In kirtels,° al disshevele,° went they there—",OXFORD,Past plural must end in -en or -e,In kertels al dishevele wente they there,No exception (normal form)
rounen,rown,v%pr_pl,The Wife of Bath's Prologue 241,data/oxford_txts/WBPro_oxford.txt,What rown° ye with our maide? benedicite!°,OXFORD,Present plural must end in -en or -e,What rowne ye with oure mayde Benedicite,No exception (normal form)
heren,herde,v%pt_3,The Franklin's Tale 1586,data/oxford_txts/FranT_oxford.txt,"And seide thus, whan he thise wordes herde:",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And seyde thus whan he thise wordes herde,No exception (normal form)
seien,sey,v%inf,The Friar's Tale 1394,data/oxford_txts/FriT_oxford.txt,"Sey that he was a somnour, for° the name.°",OXFORD,Infinitive must end in -en or -e,Seye that he was a somonour for the name,No exception (normal form)
techen,taughte,v%pt_3,The Wife of Bath's Prologue 12,data/oxford_txts/WBPro_oxford.txt,That by the same ensample taughte he me,OXFORD,"Weak pt sg must end in -ed, -d, or -t",That by the same ensample taughte he me,No exception (normal form)
finden,fonde,v%pt_3,The Monk's Tale 2331,data/oxford_txts/MkT_oxford.txt,"That he nas° glad, if he that grace° fonde,°",OXFORD,Strong pt sg must not end in -en or -e,That he nas glad if he that grace fond,No exception (normal form)
paien,pay,v%inf,The Shipman's Tale 424,data/oxford_txts/ShipT_oxford.txt,"By God, I wol nat pay yow but abedde.",OXFORD,Infinitive must end in -en or -e,By God I wol nat paye yow but abedde,No exception (normal form)
answeren,answerde,v%pt_3,The Friar's Tale 1506,data/oxford_txts/FriT_oxford.txt,"Of° elements?’ the feend answerde, ‘Nay;",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Of elementz The feend answerde Nay,No exception (normal form)
answeren,answerde,v%pt_3,The Second Nun's Tale 260,data/oxford_txts/SNT_oxford.txt,"Tiburce answerde, “Seistow this to me",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Tiburce answerde Seistow this to me,No exception (normal form)
answeren,answerde,v%pt_3,The Miller's Tale 3790,data/oxford_txts/MilT_oxford.txt,"¶This Alison answerde, “Who is ther",OXFORD,"Weak pt sg must end in -ed, -d, or -t",This Alison answerde Who is ther,No exception (normal form)
henten,hente,v%pt_3,The Reeve's Tale 4212,data/oxford_txts/RvT_oxford.txt,"Unto the cradle and in his hand it hente,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Unto the cradel and in his hand it hente,No exception (normal form)
henten,hente,v%pt_3,The Friar's Tale 1639,data/oxford_txts/FriT_oxford.txt,And with that word this foule feend him hente;,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And with that word this foule feend hym hente,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book IV 350,data/oxford_txts/TC4_oxford.txt,But in a rees to Troilus he wente.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",But in a rees to Troilus he wente,No exception (normal form)
meten,met,v%inf,Parliament of Fowls 108,data/oxford_txts/PF_oxford.txt,That made me to met° that he stood there;,OXFORD,Infinitive must end in -en or -e,That made me to mete that he stod there,No exception (normal form)
quiten,quit,v%inf,The Wife of Bath's Tale 1008,data/oxford_txts/WBT_oxford.txt,"Coud ye me wisse,° I wold wel quit your hire.”°",OXFORD,Infinitive must end in -en or -e,Koude ye me wisse I wolde wel quite youre hire,No exception (normal form)
costen,coste,v%pt_3,Sir Thopas 735,data/oxford_txts/Thop_oxford.txt,    That coste many a jane.°,OXFORD,"Weak pt sg must end in -ed, -d, or -t",That coste many a jane,No exception (normal form)
comen,com,v%inf,The Franklin's Tale 839,data/oxford_txts/FranT_oxford.txt,And that he wol com hastily again;,OXFORD,Infinitive must end in -en or -e,And that he wol come hastily agayn,No exception (normal form)
comen,com,v%ppl,Book of the Duchess 135,data/oxford_txts/BD_oxford.txt,"¶Whan he was com, she bad him thus:",OXFORD,Strong participle must end in -en or -e,Whan he was come she bad hym thus,No exception (normal form)
holden,hold,v%pr_pl,The Summoner's Tale 1959,data/oxford_txts/SumT_oxford.txt,"Hold ye° than me, or elles our covent",OXFORD,Present plural must end in -en or -e,Holde ye thanne me or elles oure covent,No exception (normal form)
willen,wold,v%pt_pl,Book of the Duchess 351,data/oxford_txts/BD_oxford.txt,How they wold slee the hert° with strengthe,OXFORD,Past plural must end in -en or -e,How they wolde slee the hert with strengthe,No exception (normal form)
setten,sette,v%pt_3,The General Prologue 748,data/oxford_txts/GP_oxford.txt,And to the soper sette he us anon;,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And to the soper sette he us anon,No exception (normal form)
setten,sette,v%pt_3,The General Prologue 507,data/oxford_txts/GP_oxford.txt,He sette nat his benefice to hire,OXFORD,"Weak pt sg must end in -ed, -d, or -t",He sette nat his benefice to hyre,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book IV 1214,data/oxford_txts/TC4_oxford.txt,"And he answerde, “Lady min Criseyde",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And he answerde Lady myn Criseyde,No exception (normal form)
heren,herde,v%pt_3,Troilus and Criseyde; Book V 178,data/oxford_txts/TC5_oxford.txt,"That, in effect, she nought his tales herde",OXFORD,"Weak pt sg must end in -ed, -d, or -t",That in effect she naught his tales herde,No exception (normal form)
haven,had,v%pt_pl,The Franklin's Tale 903,data/oxford_txts/FranT_oxford.txt,In which that they had maad hir ordinaunce°,OXFORD,Past plural must end in -en or -e,In which that they hadde maad hir ordinaunce,No exception (normal form)
seien,seyn,v%inf,Troilus and Criseyde; Book II 684,data/oxford_txts/TC2_oxford.txt,"And, sooth to seyn, she nas nat al a fo",OXFORD,Infinitive must end in -en or -e,And soth to seyne she nas not al a foo,No exception (normal form)
ben,wer,v%pt_pl,The Canon's Yeoman's Tale 864,data/oxford_txts/CYT_oxford.txt,"For had we him,° than wer we siker ynow.°",OXFORD,Past plural must end in -en or -e,For hadde we hym thanne were we siker ynow,No exception (normal form)
wenden,wente,v%pt_3,The General Prologue 78,data/oxford_txts/GP_oxford.txt,And wente for to doon his pilgrimage.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And wente for to doon his pilgrymage,No exception (normal form)
sterten,sterte,v%pt_3,Troilus and Criseyde; Book II 1094,data/oxford_txts/TC2_oxford.txt,"Amorwe, and to his neces paleis sterte",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Amorwe and to his neces paleis sterte,No exception (normal form)
biholden,behold,v%inf,Book of the Duchess 1050,data/oxford_txts/BD_oxford.txt,"And to behold the alderfaireste,°",OXFORD,Infinitive must end in -en or -e,And to beholde the alderfayreste,No exception (normal form)
ben,wer,v%pt_pl,The Shipman's Tale 35,data/oxford_txts/ShipT_oxford.txt,Wer bothe two yborn in o° village,OXFORD,Past plural must end in -en or -e,Were bothe two yborn in o village,No exception (normal form)
answeren,answerde,v%pt_3,The Franklin's Tale 1008,data/oxford_txts/FranT_oxford.txt,And with a sorweful herte he thus answerde:,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And with a sorweful herte he thus answerde,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 1725,data/oxford_txts/TC2_oxford.txt,And arm in arm inward with him she wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And arm in arm inward with hym she wente,No exception (normal form)
kissen,kiss,v%pr_pl,The Pardoner's Tale 965,data/oxford_txts/PardT_oxford.txt,I prey yow that ye kiss the Pardoner.,OXFORD,Present plural must end in -en or -e,I prey yow that ye kisse the Pardoner,No exception (normal form)
willen,wold,v%pt_pl,The Franklin's Tale 1421,data/oxford_txts/FranT_oxford.txt,Wel rather than they wold defouled be?,OXFORD,Past plural must end in -en or -e,Wel rather than they wolde defouled be,No exception (normal form)
finden,find,v%pr_pl,The Nun's Priest's Tale 2957,data/oxford_txts/NPT_oxford.txt,Ne find yow nat repleet° of humours hote;,OXFORD,Present plural must end in -en or -e,Ne fynde yow nat repleet of humours hoote,No exception (normal form)
breken,breek,v%pr_pl,The Franklin's Tale 1320,data/oxford_txts/FranT_oxford.txt,"Aviseth yow,° er that ye breek your trouthe.°",OXFORD,Present plural must end in -en or -e,Avyseth yow er that ye breke youre trouthe,No exception (normal form)
geten,get,v%pr_pl,The Merchant's Tale 1945,data/oxford_txts/MerT_oxford.txt,And wente hir wey; ye get namore of° me.,OXFORD,Present plural must end in -en or -e,And wente hire wey ye gete namoore of me,No exception (normal form)
seien,sey,v%inf,The Merchant's Tale 2237,data/oxford_txts/MerT_oxford.txt,"¶“My wif,” quod he, “ther may no wight sey nay;°",OXFORD,Infinitive must end in -en or -e,My wyf quod he ther may no wight seye nay,No exception (normal form)
sterten,sterte,v%pt_3,The Knight's Tale 952,data/oxford_txts/KnT_oxford.txt,¶This gentil duk doun from his courser° sterte,OXFORD,"Weak pt sg must end in -ed, -d, or -t",This gentil duc doun from his courser sterte,No exception (normal form)
seien,sey,v%inf,The Merchant's Tale 1254,data/oxford_txts/MerT_oxford.txt,"I can nat sey, but swich a greet corage°",OXFORD,Infinitive must end in -en or -e,I kan nat seye but swich a greet corage,No exception (normal form)
shulen,shold,v%pt_pl,Book of the Duchess 725,data/oxford_txts/BD_oxford.txt,Ye shold be dampned in this cas,OXFORD,Past plural must end in -en or -e,Ye sholde be dampned in this cas,No exception (normal form)
heren,herde,v%pt_3,Troilus and Criseyde; Book III 799,data/oxford_txts/TC3_oxford.txt,"Criseyde, which that al this wonder herde",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Criseyde which that al this wonder herde,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book I 1037,data/oxford_txts/TC1_oxford.txt,"Tho lough this Pandare, and anoon answerde",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Tho lough this Pandare and anon answerde,No exception (normal form)
feinten,faint,v%inf,Book of the Duchess 488,data/oxford_txts/BD_oxford.txt,His sorwful hert gan faste faint,OXFORD,Infinitive must end in -en or -e,Hys sorwful hert gan faste faynte,No exception (normal form)
wenden,wente,v%pt_3,The Franklin's Tale 960,data/oxford_txts/FranT_oxford.txt,"Nathelees, it happed, er° they thennes° wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Nathelees it happed er they thennes wente,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book II 897,data/oxford_txts/TC2_oxford.txt,Criseyde unto that purpos nought answerde,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Criseyde unto that purpos naught answerde,No exception (normal form)
wenden,wente,v%pt_3,The Prioress' Tale 549,data/oxford_txts/PrT_oxford.txt,To scoleward and homward whan he wente;,OXFORD,"Weak pt sg must end in -ed, -d, or -t",To scoleward and homward whan he wente,No exception (normal form)
connen,kan,v%pr_pl,The Reeve's Tale 4123,data/oxford_txts/RvT_oxford.txt,Ye kan by argumentes make a place,OXFORD,Present plural must end in -en or -e,Ye konne by argumentes make a place,No exception (normal form)
answeren,answerde,v%pt_3,The Shipman's Tale 349,data/oxford_txts/ShipT_oxford.txt,"Daun John answerde, “Certes, I am fain°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Daun John answerde Certes I am fayn,No exception (normal form)
sterten,sterte,v%pt_3,The Nun's Priest's Tale 3367,data/oxford_txts/NPT_oxford.txt,"That wilfully into the fir she sterte,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",That wilfully into the fyr she sterte,No exception (normal form)
shitten,shette,v%pt_3,Troilus and Criseyde; Book IV 232,data/oxford_txts/TC4_oxford.txt,"He rist him up, and every dore he shette",OXFORD,"Weak pt sg must end in -ed, -d, or -t",He rist hym up and every dore he shette,No exception (normal form)
setten,sette,v%pt_3,The Monk's Tale 2118,data/oxford_txts/MkT_oxford.txt,"In stede of boundes,° he a piler° sette.",OXFORD,"Weak pt sg must end in -ed, -d, or -t",In stide of boundes he a pileer sette,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book IV 582,data/oxford_txts/TC4_oxford.txt,"Pandare answerde, “Freend, thou mayst, for me",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Pandare answerde Frend thow maist for me,No exception (normal form)
discoveren,discover,v%pr_pl,The Merchant's Tale 1942,data/oxford_txts/MerT_oxford.txt,“Mercy! And that ye nat discover° me;,OXFORD,Present plural must end in -en or -e,Mercy And that ye nat discovere me,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 1537,data/oxford_txts/TC2_oxford.txt,And Troilus to paleis wente blive.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And Troilus to paleis wente blyve,No exception (normal form)
moten,moot,v%pr_pl,The General Prologue 742,data/oxford_txts/GP_oxford.txt,The wordes moot be cosin to the dede.,OXFORD,Present plural must end in -en or -e,The wordes moote be cosyn to the dede,No exception (normal form)
wenden,wente,v%pt_3,The Nun's Priest's Tale 3147,data/oxford_txts/NPT_oxford.txt,He wente for to fighte nathelees,OXFORD,"Weak pt sg must end in -ed, -d, or -t",He wente for to fighte natheles,No exception (normal form)
cacchen,caughte,v%pt_3,Troilus and Criseyde; Book II 448,data/oxford_txts/TC2_oxford.txt,Til she again him by the lappe caughte.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Tyl she agayn hym by the lappe kaughte,No exception (normal form)
faren,ferde,v%pt_3,Troilus and Criseyde; Book I 739,data/oxford_txts/TC1_oxford.txt,"To never no man, for whom that he so ferde.",OXFORD,Strong pt sg must not end in -en or -e,To nevere no man for whom that he so ferde,No exception (normal form)
sheuen,shew,v%inf,The Clerk's Tale 90,data/oxford_txts/ClT_oxford.txt,Or elles coude he shew wel swich° matere,OXFORD,Infinitive must end in -en or -e,Or elles koude he shewe wel swich mateere,No exception (normal form)
henten,hente,v%pt_3,The Monk's Tale 2356,data/oxford_txts/MkT_oxford.txt,"He made hir flee, and atte laste hir hente,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",He made hire flee and atte laste hire hente,No exception (normal form)
wenden,wente,v%pt_3,The General Prologue 697,data/oxford_txts/GP_oxford.txt,"That Seinte Peter had, whan that he wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t",That Seint Peter hadde whan that he wente,No exception (normal form)
costen,coste,v%pt_3,The Knight's Tale 1908,data/oxford_txts/KnT_oxford.txt,That coste largely of gold a fother.°,OXFORD,"Weak pt sg must end in -ed, -d, or -t",That coste largely of gold a fother,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book III 1527,data/oxford_txts/TC3_oxford.txt,To which no word for sorwe she answerde,OXFORD,"Weak pt sg must end in -ed, -d, or -t",To which no word for sorwe she answerde,No exception (normal form)
wenden,wente,v%pt_1,The Wife of Bath's Prologue 549,data/oxford_txts/WBPro_oxford.txt,"And I myself, into the feldes wente.",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And I myself into the feeldes wente,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book III 1492,data/oxford_txts/TC3_oxford.txt,To that Criseyde answerde right anoon,OXFORD,"Weak pt sg must end in -ed, -d, or -t",To that Criseyde answerde right anon,No exception (normal form)
finden,found,v%ppl,House of Fame 2054,data/oxford_txts/HF_oxford.txt,"“That shal be found, that dar I leye”°:—",OXFORD,Strong participle must end in -en or -e,That shal be founde That dar I leye,No exception (normal form)
seien,sey,v%inf,Parliament of Fowls 503,data/oxford_txts/PF_oxford.txt,And I wol sey my verdit° faire and swithe°,OXFORD,Infinitive must end in -en or -e,And I wol seye my verdit fayre and swythe,No exception (normal form)
finden,fonde,v%pt_3,Parliament of Fowls 374,data/oxford_txts/PF_oxford.txt,That ever she among hir werkes fonde,OXFORD,Strong pt sg must not end in -en or -e,That evere she among hire werkes fond,No exception (normal form)
understonden,understode,v%pt_3,Book of the Duchess 1261,data/oxford_txts/BD_oxford.txt,My wo; and she wel understode,OXFORD,Strong pt sg must not end in -en or -e,My woo and she wel understod,No exception (normal form)
moten,moot,v%pr_pl,The General Prologue 232,data/oxford_txts/GP_oxford.txt,Men moot yeve silver to the povre freres.,OXFORD,Present plural must end in -en or -e,Men moote yeve silver to the povre freres,No exception (normal form)
taken,tak,v%inf,The Pardoner's Tale 886,data/oxford_txts/PardT_oxford.txt,To tak the botel ther° the poison was,OXFORD,Infinitive must end in -en or -e,To take the botel ther the poyson was,No exception (normal form)
pleien,pley,v%inf,Book of the Duchess 239,data/oxford_txts/BD_oxford.txt,And yet me list right evel to pley—,OXFORD,Infinitive must end in -en or -e,And yet me lyst ryght evel to pleye,No exception (normal form)
wenden,wente,v%pt_3,The Summoner's Tale 1765,data/oxford_txts/SumT_oxford.txt,"¶So longe he wente hous by hous, til he",OXFORD,"Weak pt sg must end in -ed, -d, or -t",So longe he wente hous by hous til he,No exception (normal form)
sterten,sterte,v%pt_3,The Nun's Priest's Tale 3277,data/oxford_txts/NPT_oxford.txt,"But cride anon, “cok, cok,” and up he sterte,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",But cride anon Cok cok and up he sterte,No exception (normal form)
heren,herde,v%pt_3,Troilus and Criseyde; Book II 216,data/oxford_txts/TC2_oxford.txt,"That herde that, gan fer awey to stonde",OXFORD,"Weak pt sg must end in -ed, -d, or -t",That herde that gan fer awey to stonde,No exception (normal form)
answeren,answerde,v%pt_1,House of Fame 1896,data/oxford_txts/HF_oxford.txt,"And I answerde, “No, pardee!",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And I answered Noo parde,No exception (normal form)
taken,tooke,v%pt_3,Book of the Duchess 273,data/oxford_txts/BD_oxford.txt,Suche a lust° anoon me tooke°,OXFORD,Strong pt sg must not end in -en or -e,Such a lust anoon me took,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book I 272,data/oxford_txts/TC1_oxford.txt,"His eye perced, and so depe it wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t",His eye percede and so depe it wente,No exception (normal form)
maken,mak,v%inf,Book of the Duchess 553,data/oxford_txts/BD_oxford.txt,"For, by my trouth,° to mak you hool,°",OXFORD,Infinitive must end in -en or -e,For by my trouthe to make yow hool,No exception (normal form)
seien,sey,v%inf,The Canon's Yeoman's Tale 956,data/oxford_txts/CYT_oxford.txt,"But, be it hoot or cold, I dar sey this",OXFORD,Infinitive must end in -en or -e,But be it hoot or coold I dar seye this,No exception (normal form)
kissen,kiss,v%inf,The Pardoner's Tale 944,data/oxford_txts/PardT_oxford.txt,And thou shalt kiss the reliks everichon,OXFORD,Infinitive must end in -en or -e,And thou shalt kisse the relikes everychon,No exception (normal form)
sterten,sterte,v%pt_3,The Knight's Tale 1514,data/oxford_txts/KnT_oxford.txt,"Into the grove ful hastily he sterte,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Into the grove ful hastily he sterte,No exception (normal form)
answeren,answerde,v%pt_3,The Second Nun's Tale 458,data/oxford_txts/SNT_oxford.txt,"Almache answerde, “Chees oon of thise two",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Almache answerde Chees oon of thise two,No exception (normal form)
greten,gret,v%inf,The Clerk's Tale 1014,data/oxford_txts/ClT_oxford.txt,"With other folk, to gret the markisesse",OXFORD,Infinitive must end in -en or -e,With oother folk to greete the markysesse,No exception (normal form)
heren,herde,v%pt_1,Parliament of Fowls 200,data/oxford_txts/PF_oxford.txt,"Ne herde never better, as I gesse;",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Ne herde nevere beter as I gesse,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Tale 1073,data/oxford_txts/WBT_oxford.txt,"¶Now wolden som men sey, paraventure",OXFORD,Infinitive must end in -en or -e,Now wolden som men seye paraventure,No exception (normal form)
ben,wer,v%pt_pl,Parliament of Fowls 678,data/oxford_txts/PF_oxford.txt,The wordes wer swich as ye may heer finde,OXFORD,Past plural must end in -en or -e,The wordes were swiche as ye may heer fynde,No exception (normal form)
shitten,shette,v%pt_3,The Shipman's Tale 85,data/oxford_txts/ShipT_oxford.txt,For which ful faste° his countour-dore he shette;°,OXFORD,"Weak pt sg must end in -ed, -d, or -t",For which ful faste his countourdore he shette,No exception (normal form)
